course_title,level,num_subscribers,platform,price,num_reviews,subject,course_rating,course_organization,category,engagement_score,rating,num_subscribers_scaled,price_scaled,num_reviews_scaled
Stock Trading Ninja: Complete System For Trading Success,All Levels,9445,Udemy,155.0,497.0,Business Finance,,,Business Finance,2.491399811860749,1.1276256978475905,0.0037779999999999997,0.775,0.018108945163053378
Hedge and Mutual Fund Careers: The Complete Guide,All Levels,3255,Udemy,200.0,340.0,Business Finance,,,Business Finance,1.2274582479666178,1.0628783925926846,0.001302,1.0,0.012388413190016396
Algorithmic Trading In Forex: Create Your First Forex Robot!,All Levels,7941,Udemy,185.0,713.0,Business Finance,,,Business Finance,2.7399098156456962,1.140355996093649,0.0031764,0.925,0.02597923118965203
The Power Modeling Bootcamp: Advanced Excel in 10 Days,All Levels,1680,Udemy,150.0,158.0,Business Finance,,,Business Finance,0.5953037639467806,1.0304953295506036,0.000672,0.75,0.005756968482419383
Options Trading Basics (3-Course Bundle),Beginner Level,10100,Udemy,180.0,985.0,Business Finance,,,Business Finance,3.655686463735824,1.1872680305365426,0.00404,0.9,0.035889961741665144
How to Win 97% of Your Options Trades,All Levels,5050,Udemy,125.0,461.0,Business Finance,,,Business Finance,1.7589782291351739,1.0901063020569268,0.00202,0.625,0.016797230825286936
How I Make Consistent Returns Trading Options,All Levels,2310,Udemy,200.0,162.0,Business Finance,,,Business Finance,0.6977556468241636,1.0357435811502775,0.0009239999999999999,1.0,0.005902714519948988
"Forex Strategies: Kelly Criterion, Larry Williams and more!",All Levels,5528,Udemy,185.0,506.0,Business Finance,,,Business Finance,1.9284552229740695,1.0987880156481495,0.0022112,0.925,0.01843687374749499
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",All Levels,6451,Udemy,125.0,237.0,Business Finance,,,Business Finance,1.4776583303316941,1.0756952676527811,0.0025804,0.625,0.008635452723629075
Options Trading Introduction: Day Trade Stock Options,Beginner Level,12394,Udemy,95.0,218.0,Business Finance,,,Business Finance,2.3200912142039787,1.1188501575994325,0.0049575999999999995,0.47500000000000003,0.007943159045363454
The Almost Perfect Options Trading Strategy System - Unique,All Levels,1793,Udemy,200.0,18.0,Business Finance,,,Business Finance,0.30604487026269583,1.0156776082080459,0.0007172,1.0,0.0006558571688832209
Forex Trading -  Learn to Trade Forex Like the Banks,All Levels,3223,Udemy,20.0,240.0,Business Finance,,,Business Finance,1.0040794649102753,1.0514354788796025,0.0012892,0.1,0.008744762251776278
Learn to Trade for Profit:Trading with Japanese Candlesticks,Beginner Level,16385,Udemy,60.0,273.0,Business Finance,,,Business Finance,3.033958867256055,1.1554191004715713,0.006554,0.3,0.009947167061395517
The Most Powerful Options Spread Trading Front Ratio Spread,All Levels,1487,Udemy,200.0,16.0,Business Finance,,,Business Finance,0.2561576019757988,1.013122057951313,0.0005947999999999999,1.0,0.0005829841501184186
What Finance Job is for You? Explanation of 14 Finance Roles,All Levels,2951,Udemy,200.0,232.0,Business Finance,,,Business Finance,0.9461322629302703,1.0484670464121175,0.0011803999999999999,1.0,0.00845327017671707
The Blueprint for Successful Stock Trading,All Levels,2697,Udemy,120.0,331.0,Business Finance,,,Business Finance,1.1247847974888696,1.0576187908598516,0.0010788,0.6,0.012060484605574785
Trading for Beginners - Intermediate Level,Beginner Level,3979,Udemy,150.0,40.0,Business Finance,,,Business Finance,0.6792898970721892,1.0347976453806933,0.0015915999999999999,0.75,0.0014574603752960465
Start Trading Stocks Using Technical Analysis!,All Levels,3190,Udemy,25.0,244.0,Business Finance,,,Business Finance,1.0079157589388055,1.0516319988039473,0.001276,0.125,0.008890508289305883
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Expert Level,1406,Udemy,200.0,71.0,Business Finance,,,Business Finance,0.36435002457157317,1.0186643773212796,0.0005624,1.0,0.0025869921661504825
VPS for Forex Trading - Protect Your Forex Robots,All Levels,4252,Udemy,160.0,225.0,Business Finance,,,Business Finance,1.1243415701546051,1.0575960858738547,0.0017008,0.8,0.008198214611040262
Introduction to Accounting: The Language of Business,Beginner Level,11958,Udemy,20.0,370.0,Business Finance,,,Business Finance,2.587540902640105,1.1325506696422138,0.0047832,0.1,0.01348150847148843
Basic Excel for Basic Bookkeeping and Accounting,Beginner Level,7743,Udemy,95.0,340.0,Business Finance,,,Business Finance,1.895009926328082,1.09707473008722,0.0030972,0.47500000000000003,0.012388413190016396
"Using 'The Greeks To Understand Options""",All Levels,2134,Udemy,50.0,55.0,Business Finance,,,Business Finance,0.43765475939850235,1.0224195224783437,0.0008535999999999999,0.25,0.002004008016032064
Trading Options For Consistent Returns: Calendar Spreads,All Levels,1214,Udemy,200.0,69.0,Business Finance,,,Business Finance,0.33141928287407163,1.0169774506105307,0.0004856,1.0,0.00251411914738568
How to Create Your Personal Budget,All Levels,3870,Udemy,20.0,53.0,Business Finance,,,Business Finance,0.691497555107619,1.0354230010014327,0.001548,0.1,0.0019311349972672615
The Complete Value Investing Course: A Proven Approach,All Levels,2146,Udemy,200.0,212.0,Business Finance,,,Business Finance,0.7826715753164472,1.0400935271447382,0.0008583999999999999,1.0,0.007724539989069046
FOREX Trading with Price Action,Beginner Level,484,Udemy,195.0,57.0,Business Finance,,,Business Finance,0.19660372936208753,1.0100713213671373,0.0001936,0.975,0.0020768810347968664
Emini ES Futures - Advanced Non Directional Options Trading,All Levels,1057,Udemy,200.0,15.0,Business Finance,,,Business Finance,0.19001258304934546,1.0097336799963006,0.0004228,1.0,0.0005465476407360174
Forex Trading - Advanced Fundamental Analysis,Intermediate Level,1754,Udemy,20.0,100.0,Business Finance,,,Business Finance,0.4795115794330006,1.0245637009603168,0.0007015999999999999,0.1,0.0036436509382401163
How To Invest With Tiny Capital In Stocks ?,Beginner Level,1239,Udemy,20.0,5.0,Business Finance,,,Business Finance,0.1952216233784133,1.0100005209119771,0.0004956,0.1,0.0001821825469120058
Learn How To Successfully Trade Stocks: In 5 Simple Steps,All Levels,2493,Udemy,95.0,276.0,Business Finance,,,Business Finance,0.9742010584196066,1.0499049126249242,0.0009972,0.47500000000000003,0.01005647658954272
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Beginner Level,2602,Udemy,150.0,402.0,Business Finance,,,Business Finance,1.2658738886334022,1.0648462914923391,0.0010408,0.75,0.014647476771725268
Intermediate Options trading concepts for Stocks and Options,All Levels,2000,Udemy,40.0,30.0,Business Finance,,,Business Finance,0.3630686395092954,1.018598736446617,0.0007999999999999999,0.2,0.0010930952814720348
Options Trading 101: The Basics,Beginner Level,1514,Udemy,0.0,66.0,Business Finance,,,Business Finance,0.36948314957838535,1.0189273293605365,0.0006056,0.0,0.002404809619238477
Practical Accounts APP Overview,Intermediate Level,1361,Udemy,20.0,1.0,Business Finance,,,Business Finance,0.20462331940651637,1.0104821369138832,0.0005444,0.1,3.643650938240116e-05
Bitcoin Profits for Beginners,Beginner Level,61,Udemy,100.0,18.0,Business Finance,,,Business Finance,0.04842465927293295,1.0024806259129175,2.44e-05,0.5,0.0006558571688832209
Trend Traders Club: How To Find And Trade Fast Moving Trends,All Levels,1513,Udemy,75.0,31.0,Business Finance,,,Business Finance,0.2928177384140325,1.015000028509809,0.0006052,0.375,0.001129531790854436
Financial Statements Basics,Beginner Level,1374,Udemy,20.0,19.0,Business Finance,,,Business Finance,0.24590838853654598,1.0125970265969126,0.0005496,0.1,0.0006922936782656221
High performance Stock Trading using key Options techniques,All Levels,2103,Udemy,40.0,15.0,Business Finance,,,Business Finance,0.3455961515801144,1.0177036820059449,0.0008412,0.2,0.0005465476407360174
Introduction to Financial Statement Analysis,Beginner Level,1480,Udemy,20.0,25.0,Business Finance,,,Business Finance,0.274792126813122,1.0140766394781715,0.000592,0.1,0.0009109127345600291
Basics of Economics (College Level),All Levels,2516,Udemy,25.0,12.0,Business Finance,,,Business Finance,0.40046780341251326,1.0205145647971456,0.0010064,0.125,0.000437238112588814
Stock Market Investing for Beginners,Beginner Level,50855,Udemy,0.0,2698.0,Business Finance,,,Business Finance,13.462589153767901,1.6896413523856624,0.020342,0.0,0.09830570231371834
Accounting for Beginners : Learn Basics in under 1 Hour,Beginner Level,1971,Udemy,50.0,13.0,Business Finance,,,Business Finance,0.32158989756124207,1.0164739255825563,0.0007884,0.25,0.00047367462197121514
Straddle Options Trading - Profit in Any Market Direction,All Levels,837,Udemy,200.0,9.0,Business Finance,,,Business Finance,0.14417231818337398,1.0073854435690575,0.0003348,1.0,0.00032792858444161046
Fundamentals of Forex Trading,All Levels,17160,Udemy,0.0,620.0,Business Finance,,,Business Finance,3.9078416251132744,1.2001850574558925,0.0068639999999999994,0.0,0.02259063581708872
"Binary Options: Trading Strategies, 90% Accuracy and Signals",Beginner Level,1723,Udemy,195.0,38.0,Business Finance,,,Business Finance,0.33935677922984314,1.017384060784757,0.0006892,0.975,0.0013845873565312443
Website Investing 101 - Buying & Selling Online Businesses,All Levels,6811,Udemy,0.0,151.0,Business Finance,,,Business Finance,1.3431928679902791,1.0688070723554937,0.0027244,0.0,0.005501912916742575
Practical Accounts & Bookkeeping Automated Overview ,All Levels,2060,Udemy,20.0,17.0,Business Finance,,,Business Finance,0.3435726498696517,1.0176000250912,0.000824,0.1,0.0006194206595008198
Live Account - ETF Trading System - Hacking The Stock Market,All Levels,2318,Udemy,150.0,19.0,Business Finance,,,Business Finance,0.38632032801364535,1.0197898391180449,0.0009272,0.75,0.0006922936782656221
Stock Market Leverage: How to Start Trading Options Wisely,Beginner Level,2153,Udemy,95.0,14.0,Business Finance,,,Business Finance,0.35084703408269474,1.0179726663498134,0.0008612,0.47500000000000003,0.0005101111313536163
Stock Market Foundations,Beginner Level,19339,Udemy,0.0,794.0,Business Finance,,,Business Finance,4.612346427261093,1.2362743742259459,0.0077356,0.0,0.028930588449626524
Crash Course on Working Capital Management,All Levels,3177,Udemy,20.0,8.0,Business Finance,,,Business Finance,0.49004114708696866,1.025103093880503,0.0012707999999999999,0.1,0.0002914920750592093
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,All Levels,1535,Udemy,150.0,16.0,Business Finance,,,Business Finance,0.2632971921187021,1.0134877941812008,0.000614,0.75,0.0005829841501184186
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,All Levels,1027,Udemy,20.0,29.0,Business Finance,,,Business Finance,0.21615700709124783,1.0110729673909957,0.00041079999999999996,0.1,0.0010566587720896338
How to create a routine Trading,All Levels,307,Udemy,25.0,8.0,Business Finance,,,Business Finance,0.06315315312587197,1.0032351151351118,0.0001228,0.125,0.0002914920750592093
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",All Levels,2096,Udemy,150.0,48.0,Business Finance,,,Business Finance,0.41669924992809537,1.0213460450271612,0.0008384,0.75,0.001748952450355256
Forex SOS Course: Trading Tweaks And Working Forex Strategy,Beginner Level,1315,Udemy,50.0,48.0,Business Finance,,,Business Finance,0.3005321686446053,1.0153952117866907,0.000526,0.25,0.001748952450355256
Introduction to Financial Modeling,Intermediate Level,29167,Udemy,0.0,1463.0,Business Finance,,,Business Finance,7.536738995630138,1.3860807764507477,0.0116668,0.0,0.0533066132264529
Quantitative Aptitude for Banking & Competitive Examinations,All Levels,1056,Udemy,50.0,1.0,Business Finance,,,Business Finance,0.15925717370681797,1.008158187953136,0.00042239999999999997,0.25,3.643650938240116e-05
Option Spreads and Credit Spreads Bundle,Expert Level,2212,Udemy,180.0,194.0,Business Finance,,,Business Finance,0.7531370816299461,1.0385805783400661,0.0008847999999999999,0.9,0.007068682820185825
B Com Accountancy I (Paper ECO 02 IGNOU),All Levels,2946,Udemy,50.0,6.0,Business Finance,,,Business Finance,0.45130948839835805,1.0231190064829703,0.0011784,0.25,0.000218619056294407
FOREX TRADING - Learn in a quick + profitable way + support,All Levels,271,Udemy,100.0,48.0,Business Finance,,,Business Finance,0.14524608303645722,1.0074404487866249,0.00010839999999999999,0.5,0.001748952450355256
Auditing Basics (Professional Course Level),All Levels,3771,Udemy,25.0,10.0,Business Finance,,,Business Finance,0.5827659562312859,1.0298530615165646,0.0015084,0.125,0.0003643650938240116
Stock market Investing Encyclopedia: How to invest in stocks,Intermediate Level,3143,Udemy,200.0,11.0,Business Finance,,,Business Finance,0.49154250909124425,1.0251800034044605,0.0012572,1.0,0.00040080160320641277
Learn the basics of preparing accounting statements,Intermediate Level,1951,Udemy,20.0,30.0,Business Finance,,,Business Finance,0.3557803079050815,1.0182253807119395,0.0007804,0.1,0.0010930952814720348
Elliott Wave -Forex Trading With The Elliott Wave Theory,Expert Level,4022,Udemy,90.0,35.0,Business Finance,,,Business Finance,0.6747548270938198,1.0345653296086434,0.0016087999999999999,0.45,0.0012752778283840406
Corporate Finance - A Brief Introduction,Beginner Level,11724,Udemy,0.0,649.0,Business Finance,,,Business Finance,3.1626825677548474,1.1620131653934163,0.0046895999999999995,0.0,0.023647294589178355
Excel functions to analyze and visualize data,Intermediate Level,2283,Udemy,20.0,54.0,Business Finance,,,Business Finance,0.4576310465708208,1.0234428377963563,0.0009132,0.1,0.0019675715066496628
Building Financial Statements in Excel,Beginner Level,1181,Udemy,35.0,1.0,Business Finance,,,Business Finance,0.17784985637062878,1.0091106260518028,0.0004724,0.17500000000000002,3.643650938240116e-05
Transfer Pricing A Complete Analysis,All Levels,1852,Udemy,50.0,3.0,Business Finance,,,Business Finance,0.2820277580358535,1.014447295556643,0.0007408,0.25,0.0001093095281472035
Accounting: Get Hired Without Work Experience,All Levels,4661,Udemy,100.0,187.0,Business Finance,,,Business Finance,1.1021015864387191,1.0564568092999598,0.0018644,0.5,0.006813627254509017
Forex Trading for Beginners - Basics,All Levels,989,Udemy,50.0,9.0,Business Finance,,,Business Finance,0.16678102030256792,1.0085436082970365,0.00039559999999999997,0.25,0.00032792858444161046
Basic Bookkeeping Hacks,All Levels,5841,Udemy,20.0,16.0,Business Finance,,,Business Finance,0.9037779245216575,1.0462973818040773,0.0023363999999999998,0.1,0.0005829841501184186
Complete Trading Plan Course for Stocks & Forex (10 Hours),All Levels,1087,Udemy,200.0,14.0,Business Finance,,,Business Finance,0.19228863632571597,1.0098502742443825,0.0004348,1.0,0.0005101111313536163
"Forex Trading with Fixed 'Risk through Options Trading""",Beginner Level,611,Udemy,200.0,4.0,Business Finance,,,Business Finance,0.09962579511248362,1.0051034810086765,0.0002444,1.0,0.00014574603752960465
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",All Levels,1922,Udemy,60.0,149.0,Business Finance,,,Business Finance,0.6116234825174217,1.0313313316492385,0.0007687999999999999,0.3,0.005429039897977773
How to Pick The Right Penny Stocks To Invest In 2017,All Levels,9015,Udemy,150.0,65.0,Business Finance,,,Business Finance,1.4830066603054015,1.07596924388974,0.003606,0.75,0.0023683731098560756
Top 10 Trading Ideas in the Equities Market,All Levels,661,Udemy,20.0,4.0,Business Finance,,,Business Finance,0.10706286817800796,1.0054844562481433,0.0002644,0.1,0.00014574603752960465
Intro to Financial Modeling,Beginner Level,1077,Udemy,105.0,110.0,Business Finance,,,Business Finance,0.4006755157552418,1.0205252051739193,0.00043079999999999995,0.525,0.004008016032064128
Shark Accounting - Building a Business by the Numbers!,Beginner Level,6050,Udemy,20.0,140.0,Business Finance,,,Business Finance,1.2059525197406142,1.0617767293592293,0.00242,0.1,0.0051011113135361625
